Company;SECTOR;MARKETCAP;EBITDA;EBIT;VE/EBITDA_T12M;MarkCap/BookValue;NetIncome;EV/SALES;FCF;INVENTORIES;TOTASSETS;PAYABLES_ACCRUALS;LS_DEBT;CAPITALSTOCK;InterestExpense;ROE;ROA;ROIC;CAPITALEXPEND;PROFMARGIN;LIABILITIES;REVENUE
Iron Mountain Incorporated;Real Estate;5703.2425;879.24;524.527;11.8742;11.2083;123.241;3.4726;251.511;0;6350.587;570.651;4845.678;7.476;267.855;18.0547;1.9146;9.539;-290.249;4.0971;5821.98;3007.976
Weyerhaeuser;Real Estate;15304.1249;1137;658;17.2816;3.6438;506;3.7456;592;325;12720;631;5302;-484;341;10.4584;3.8946;6.3766;-483;9.6454;7851;5246
AT&T Inc.;Telecommunication Services;211690.32;46801;24785;7.13;1.7257;13345;2.2714;15865;0;402672;35498;126151;-126;4120;12.5789;3.8155;9.5356;-20015;9.0905;279032;146801
Twenty-First Century Fox Class B;Telecommunication Services;53541.3481;6274;5669;9.7797;3.1093;2755;2.4694;2785;3291;48193;3181;19553;-4892;1184;17.8427;5.6092;14.4439;-263;10.082;32760;27326
Twenty-First Century Fox Class A;Telecommunication Services;53541.3481;6274;5669;9.7797;3.1093;2755;2.4694;2785;3291;48193;3181;19553;-4892;1184;17.8427;5.6092;14.4439;-263;10.082;32760;27326
CenturyLink Inc;Telecommunication Services;13812.946;6794;2605;4.9915;0.9824;878;1.8872;2280;0;47604;2138;20225;-808;1312;6.0379;1.8158;8.136;-2872;4.905;33544;17900
Verizon Communications;Telecommunication Services;188063.3122;49077;33060;5.9985;11.4477;17879;2.2381;21252;1252;244175;19362;109729;-5134;4920;124.4796;7.4997;19.3364;-17775;13.5838;226333;131620
The Walt Disney Company;Telecommunication Services;173715.9292;15525;13171;12.2989;3.9015;8382;3.4694;6644;1571;88182;7812;17363;-5766;265;18.7343;9.7282;19.9156;-4265;15.9764;39527;52465
Viacom Inc.;Telecommunication Services;16465.8552;2747;2526;8.5258;4.654;1438;2.1468;1199;844;22508;1226;11913;-89;616;36.801;6.4411;15.2744;-172;11.5151;17967;12488
Duke Energy;Utilities;49140.1893;8691;5078;10.5054;1.2369;2816;4.0802;-90;3746;121156;3051;42501;-1483;1527;6.9874;2.3286;5.3139;-6766;12.5877;81385;22371
NextEra Energy;Utilities;47845.0766;7835;4632;9.8914;2.1195;2752;4.4348;-2419;1259;82479;3899;29687;1298;1211;12.9536;3.4966;7.9905;-8508;15.7383;59367;17486
Southern Co.;Utilities;42529.2513;6677;4282;10.6956;2.0653;2421;4.0905;427;1929;78318;3434;28738;-271;840;11.6771;3.2595;7.1813;-5847;13.843;56175;17489
Dominion Energy;Utilities;40268.3659;5205;3536;13.3336;3.1798;1899;5.9442;-1518;1348;58648;1241;28802;786;904;15.6819;3.3618;7.4895;-5993;16.2544;45046;11683
American Electric Power;Utilities;28599.9307;5488.2;3333.5;8.823;1.5985;2047.1;2.9439;218.5;1339.4;61683.1;2624;20372.7;81.6;873.9;11.7948;3.3773;6.7046;-4600;12.442;43778.2;16453.2
Exelon Corp.;Utilities;25536.3032;8396;4409;5.5595;0.99;2269;1.5855;-260;1566;95384;5267;26319;1900;1033;9.3221;2.4961;7.0564;-7876;7.7054;68062;29447
Sempra Energy;Utilities;23334.2643;3256;2006;11.7682;1.976;1350;3.746;-212;298;41150;2001;14663;30;561;11.662;3.3382;7.0428;-3110;13.1952;28571;10231
PPL Corp.;Utilities;22964.2197;3773;2831;11.1562;2.3152;682;5.4931;-955;357;39301;1455;19964;203;871;5.7757;1.5516;8.1639;-3570;8.8929;29382;7669
Public Serv. Enterprise Inc.;Utilities;19575.6641;4389;2962;6.6336;1.4982;1679;2.7956;56;976;37535;1507;9932;0;393;13.2985;4.6112;9.9331;-3863;16.121;24468;10415
Edison Int'l;Utilities;19291.2822;4013;2008;8.2508;1.697;1133;2.8732;658;267;50310;1382;11954;122;555;9.1365;2.2548;6.4773;-3851;9.8317;36916;11524
Consolidated Edison;Utilities;18843.4666;3557;2427;9.0476;1.4437;1193;2.5625;-295;350;45642;1303;14274;1;653;9.3101;2.6596;6.8029;-3572;9.5029;32581;12554
Eversource Energy;Utilities;16198.9573;2452.359;1764.164;10.8165;1.5648;878.485;3.3346;-290.388;336.476;30580.309;813.646;10195.41;0;372.42;8.6427;2.9127;6.9527;-1724.139;11.0434;20072.526;7954.827
DTE Energy Co.;Utilities;14392.1509;2137;1239;11.2715;1.6407;727;2.3301;-117;803;28662;1029;9732;0;450;8.5034;2.5707;6.0771;-2033;7.033;19867;10337
FirstEnergy Corp;Utilities;13423.1156;4128;2292;8.5657;1.0807;578;2.3543;553;785;52187;1928;22066;0;1015;4.6536;1.1133;5.5131;-2894;3.8467;39765;15026
Entergy Corp.;Utilities;12194.5213;1818.071;-299.165;13.7573;1.3174;-156.734;2.1768;237.938;1091.167;44647.681;1538.953;13849.988;-62.3;643.469;-1.833;-0.3438;-0.9132;-3053.246;-1.3613;35072.705;11513.251
American Water Works Company Inc;Utilities;10723.2998;1515;1075;11.3619;2.1238;476;5.4265;-88;38;17241;707;6556;-87;308;9.5544;2.8607;7.9801;-1267;15.0681;12192;3159
Ameren Corp;Utilities;10489.1022;2133;1259;8.399;1.5101;630;2.9376;34;538;23640;909;7576;0;355;9.2247;2.7434;6.99;-1983;10.3313;16552;6098
CMS Energy;Utilities;10025.8974;1913;1163;10.0632;2.5459;523;2.9781;-39;778;20299;1123;9473;43;396;13.7487;2.6492;7.6533;-1679;8.101;16324;6456
CenterPoint Energy;Utilities;7899.6136;1903;933;8.221;2.2825;-692;2.1175;281;347;21334;758;8814;0;457;-17.2806;-3.1077;5.1079;-1584;-9.3691;17873;7386
Pinnacle West Capital;Utilities;7147.5922;1426.266;854.602;7.757;1.5593;437.257;3.1676;0.991;279.931;15028.258;561.748;3819.971;19.373;178.705;9.7696;2.9829;7.3736;-1093.336;12.5093;10308.801;3495.443
AES Corp;Utilities;6439.2911;3294;2150;8.5183;2.0449;306;2.4868;-174;671;36470;4093;20081;-482;1145;8.2469;0.8113;7.6056;-2308;2.7176;29761;11260
Atmos Energy Corp;Utilities;6433.3111;950.326;657.23;10.2628;2.0137;350.104;4.4653;-291.96;179.07;10010.889;196.485;3268.59;132.852;114.812;10.517;3.6687;10.2307;-1086.95;14.2629;6547.83;2454.648
NiSource Inc.;Utilities;6217.277;1324.3;799.9;9.9084;1.6176;286.5;2.8226;96.1;536.6;17492.5;1008.8;6949.6;2.1;380.2;5.7192;1.3527;4.9599;-1360.7;6.1589;13649;4651.8
NRG Energy;Utilities;3697.8554;-2348;-4040;8.2027;1.3878;-6382;1.6863;26;1252;32882;1679;19464;-436;1128;-103.4834;-17.402;-14.4993;-1283;-43.4919;27117;14674
Wec Energy Group Inc;Utilities;16197.769;1834;1250.5;14.4794;1.8715;640.3;4.481;27.4;687;29355.2;985.1;10376.8;-97.3;331.4;9.7671;2.8933;6.9526;-1266.2;10.8047;20670;5926.1
