Company;SECTOR;MARKETCAP;EBITDA;EBIT;VE/EBITDA_T12M;MarkCap/BookValue;NetIncome;EV/SALES;FCF;INVENTORIES;TOTASSETS;PAYABLES_ACCRUALS;LS_DEBT;CAPITALSTOCK;InterestExpense;ROE;ROA;ROIC;CAPITALEXPEND;PROFMARGIN;LIABILITIES;REVENUE
Costco Wholesale Corp.;Consumer Staples;71024.0312;4927;3672;14.9392;6.6897;2350;0.61;643;8969;33163;11110;5171;-412;133;20.7085;7.1018;21.2925;-2649;1.9795;20831;118719
Kroger Co.;Consumer Staples;40772.6538;5665;3576;10.252;7.5337;2039;0.449;1568;6168;33897;7154;12079;-486;482;33.0445;6.3329;18.1592;-3349;1.8565;27099;109830
General Mills;Consumer Staples;34212.2851;3315.5;2707.4;16.3061;6.847;1697.4;2.751;2034.9;1413.7;21712.3;2070.3;8430.9;-434.8;311.9;31.5136;7.7962;16.883;-729.3;10.2481;15559.6;16563.1
Estee Lauder Cos.;Consumer Staples;32515.0129;2025;1610;16.1977;8.9248;1115;3.0499;1264;1264;9223;2323;2242;-782;71;30.907;12.7704;27.3982;-525;9.9006;5636;11262
Monster Beverage;Consumer Staples;30416.636;924.513;893.653;29.7417;6.3244;546.733;10.0288;487.118;156.121;5571.277;377.418;0;888.694;0.03;17.2892;14.5598;28.2083;-35.605;20.0815;761.867;2722.564
Constellation Brands;Consumer Staples;28031.2127;1986.1;1765.1;20.7544;4.8575;1054.9;5.5494;522.4;1851.6;16965;928;8081.2;282.6;314.7;17.1107;6.5812;11.8269;-891.3;16.1093;10273.2;6548.4
Kellogg Co.;Consumer Staples;25612.3221;1625;1091;20.3793;12.0359;614;2.4252;1138;1250;15251;2721;7745;-470;227;24.9746;4.0389;10.5217;-553;4.5397;13113;13525
Sysco Corp.;Consumer Staples;23145.1206;2513.21;1850.5;14.2384;4.4;949.622;0.6349;1405.796;2639.174;16721.804;4335.984;7435.402;-1632.46;306.146;21.7309;5.4716;15.7021;-527.346;1.8854;13166.81;50366.919
Archer-Daniels-Midland Co;Consumer Staples;21888.4232;2663;1781;9.7613;1.2229;1849;0.383;580;8243;40157;6982;5877;-2040;308;9.8682;4.3943;6.8453;-1125;2.7311;22242;67702
Brown-Forman Corp.;Consumer Staples;20905.2002;1589;1533;20.1468;10.9739;1067;6.5667;414;1054;4183;512;1501;-1092;46;61.5518;25.4928;48.0338;-110;34.5419;2621;3089
Hormel Foods Corp.;Consumer Staples;20895.2079;1200.754;1067.32;17.4775;5.2262;686.088;1.9586;847.929;993.265;6139.831;1028.72;435;8.49;13.111;18.0457;11.8337;25.3914;-144.063;7.4061;2138.438;9263.863
The Hershey Company;Consumer Staples;19353.1366;1282.687;1037.759;16.7434;19.392;512.951;2.9073;899.501;750.97;5344.371;1354.476;2420.527;-526.92;109.309;41.8213;9.3542;28.3953;-356.81;6.9443;4296.909;7386.626
Conagra Brands;Consumer Staples;18251.5359;778.5;404.6;15.2425;4.0326;-677;2.841;777.6;1582.1;13390.6;1864.7;5528;268.8;304.8;-16.4328;-4.3921;3.7043;-429.8;-7.8139;9595.8;8664.1
Molson Coors Brewing Company;Consumer Staples;17326.7858;836.2;521.8;23.7424;2.4601;359.5;5.8156;440.9;179.3;12276.3;952.6;2937.4;-115.5;120.3;4.8235;2.7384;4.6237;-275;10.0771;5213.2;3567.5
The Clorox Company;Consumer Staples;16372.6216;1229;1064;15.4474;138.751;648;3.4391;606;443;4510;1030;2312;-44;88;312.2892;14.9412;42.9205;-172;11.248;4213;5761
Campbell Soup;Consumer Staples;16292.1294;1268;960;14.8247;11.7973;563;2.8168;1150;940;7837;1320;3533;-141;115;38.7474;7.0755;16.7891;-341;7.072;6304;7961
JM Smucker;Consumer Staples;14760.7036;1575.4;1145.3;20.0212;2.0828;688.7;2.5718;1259.6;899.4;15984.1;789.2;5430;-441.1;173;9.772;4.2006;7.5533;-201.4;8.8168;8975.6;7811.2
Church & Dwight;Consumer Staples;11129.7126;775.2;674.2;15.286;5.501;410.4;3.4613;544.3;274;4256.9;452;1050;-318.8;30.5;19.8977;9.5264;21.496;-61.8;12.0891;2233.7;3394.8
McCormick & Co.;Consumer Staples;10965.2156;654.3;548.4;18.7433;6.5652;401.6;2.8481;461.6;710.8;4472.6;894.3;1394.4;-107.4;53.3;23.1978;9.038;17.7258;-128.4;9.3476;2785.7;4296.3
Coty. Inc;Consumer Staples;8895.2441;486.2;254.2;18.0349;9.1722;156.9;2.8896;351.3;565.8;7035.6;1651.2;4098.2;-750.2;112.9;23.594;2.4038;5.6375;-150.1;3.6076;6595.2;4349.1
Walmart;Consumer Staples;196276.0599;33559;24105;6.5317;2.4114;14694;0.5197;16075;44469;199581;58615;46390;-4112;2548;18.1475;7.291;17.9417;-11477;3.0477;115970;482130
Walgreens Boots Alliance;Consumer Staples;92449.0476;7682;5964;17.1076;2.9957;4173;0.8268;6522;8956;72688;16690;19028;-917;628;13.7403;5.8995;12.4624;-1325;3.556;42407;117351
TJX Companies Inc.;Consumer Staples;47476.3095;4321.396;3704.7;11.0558;11.1336;2277.658;1.5033;2067.535;3695.113;11490.431;4384.823;1700.217;-1631.584;60.269;53.1461;20.1395;57.5225;-889.38;7.3604;7183.356;30944.938
Tyson Foods;Consumer Staples;21111.2869;2880;2169;9.4195;2.1784;1220;0.5413;1716;2878;22969;1662;6690;-411;293;13.1317;5.1998;12.9342;-854;2.9488;13263;41373
Exxon Mobil Corp.;Energy;324501.0542;30931;12883;11.816;1.8998;16150;1.5411;3854;16245;336758;35214;38687;-4032;311;9.3566;4.7067;4.9942;-26490;6.8198;159948;236810
Chevron Corp.;Energy;169308.0254;17327;-3710;11.4097;1.1086;4587;1.6135;-10048;6334;264540;19371;38549;211;0;2.981;1.7291;-1.7878;-29504;3.7425;110654;122566
Schlumberger Ltd.;Energy;87961.9872;7069;2991;13.3256;2.4686;2072;2.6453;6162;3756;68005;9502;18999;-1734;346;5.6394;3.0717;5.451;-2410;5.8407;32100;35475
ConocoPhillips;Energy;57645.4335;1939;-7174;41.5046;1.4498;-4428;2.7243;-2478;1124;97484;7037;24880;-82;920;-9.6604;-4.1379;-8.6476;-10050;-14.9777;57402;29564
Occidental Petroleum;Energy;51636.1843;-5111;-9655;9.9843;2.1206;-7829;4.5462;-2030;986;43409;4656;8305;-556;141;-26.4007;-15.7102;-25.7425;-5381;-62.7324;19059;12480
Phillips 66;Energy;43635.4172;5790;4712;8.685;1.889;4227;0.5864;-51;3477;48580;6987;8887;-1097;310;18.917;8.6911;12.2939;-5764;4.9616;24642;85195
EOG Resources;Energy;38913.7737;-3372.435;-6686.079;4.615;3.0065;-4524.515;4.7551;-1417.998;598.935;26970.47;1657.117;6655.49;-0.043;240.862;-29.5183;-14.6583;-24.3268;-5013.163;-47.9576;14027.435;9434.416
Kinder Morgan;Energy;33294.1986;4756;2447;15.749;0.948;253;5.1981;-672;407;84104;2317;41553;5399;2055;0.6185;0.3027;3.3273;-5975;1.7566;48701;14403
Halliburton Co.;Energy;29131.8866;1670;-165;20.6191;1.8841;-671;1.4573;722;2993;36942;2881;15346;167;463;-4.2296;-1.9398;-0.5983;-2184;-2.8393;21447;23633
Marathon Petroleum;Energy;27629.3753;6106;4604;7.3478;2.0873;2852;0.6955;2075;5225;43115;4927;11925;-932;325;23.7786;7.7563;16.42;-1998;4.4314;23440;64359
Anadarko Petroleum Corp;Energy;24685.5753;-3871;-8474;3.5065;1.9257;-6692;4.6563;-7944;216;46331;3782;15668;327;825;-41.1443;-12.3903;-20.2921;-6067;-74.0839;30874;9033
Pioneer Natural Resources;Energy;18729.0029;1126;-259;18.6501;2.2382;-273;5.5941;-1138;155;15154;865;3655;-25;187;-3.2214;-1.8162;-1.9177;-2393;-7.2722;6779;3754
Noble Energy Inc;Energy;14095.1565;578;-1553;36.7771;1.3592;-2441;5.2117;-917;0;24196;1297;8190;1112;263;-23.5902;-10.4508;-8.7564;-2979;-59.5076;13826;4102
Hess Corporation;Energy;13869.9922;164;-3791;114.3963;0.7155;-3056;2.8268;-2340;399;34157;2542;6592;-130;341;-14.6955;-8.4229;-14.0851;-4321;-46.0518;13756;6636
Devon Energy Corp.;Energy;13152;-15053;-19075;3.4084;1.8658;-12896;2.133;-996;0;29451;906;13032;679;527;-90.2547;-32.2046;-61.1496;-5894;-98.1057;18462;13145
National Oilwell Varco Inc.;Energy;12583.7878;357;-390;40.5876;0.7681;-769;0.9819;879;4678;25970;2910;3909;-2214;103;-4.1483;-2.5835;-1.6022;-453;-5.2111;9510;14757
Concho Resources;Energy;11992.3456;1483.631;260.378;10.175;1.7274;65.9;6.1956;-980.982;0;12641.876;310.648;3332.188;1532.79;215.384;1.0886;0.5403;2.3302;-2511.403;2.7047;5699.325;2436.489
Marathon Oil Corp.;Energy;8526.7051;423;-2298;34.4745;0.4596;-2204;3.1099;-1909;313;32311;1578;7277;-11;350;-11.1389;-6.4544;-8.0928;-3485;-47.0137;13758;4688
Cimarex Energy;Energy;8451.7398;-2961.88;-3740.803;5.8899;3.021;-2408.948;6.3205;-358.136;54.579;5243.286;314.323;1485.62;773.539;55.157;-66.0139;-34.5325;-63.533;-1049.636;-165.8348;2445.608;1452.619
Cabot Oil & Gas;Energy;7321.4428;526.882;-95.329;17.7214;3.644;-113.891;6.2466;-206.004;17.049;5253.038;215.552;2016.139;0;96.911;-5.4862;-2.1306;-2.0749;-955.602;-7.6194;3243.85;1494.753
HollyFrontier Corp;Energy;7296.0956;1590.504;1244.353;5.4586;1.3888;740.101;0.6478;303.471;841.869;8388.299;823.639;1040.04;-742.823;43.47;13.692;8.4015;17.7292;-676.155;5.5908;2578.526;13237.92
TechnipFMC;Energy;6613.7116;509.4;170.7;13.4916;2.6202;14.4;0.5961;374.8;764.1;6419.4;762.3;1156;0;148.9;0.5783;0.2118;4.4579;-325.5;0.1255;3876.2;11471.9
Helmerich & Payne;Energy;5772.005;572.621;-25.966;4.3442;1.179;-56.828;4.2146;497.362;124.325;6832.019;330.061;491.847;2.774;22.913;-1.2411;-0.813;-0.3961;-257.169;-3.4988;2271.094;1624.232
ONEOK;Energy;5160.7853;1350.779;996.159;12.9364;15.3687;244.977;2.2524;-165.484;204.78;15446.111;745.025;8980.572;396.329;416.787;52.8017;1.5955;7.9792;-1188.312;3.1556;11679.775;7763.206
Diamondback Energy Inc;Energy;4462.4309;-377.703;-595.4;13.4347;2.3787;-550.628;8.738;-485.586;1.728;2750.719;124.238;487.807;655.561;41.51;-30.3629;-18.8371;-21.6628;-902.087;-93.0741;641.746;591.602
Valero Energy;Energy;34047.1088;8200;6358;4.6457;1.6587;3990;0.4583;3993;5898;44227;5268;7335;-2615;433;19.3671;8.8887;18.0374;-1618;4.8763;22873;81824
Williams Cos.;Energy;19268.953;1964;226;27.3589;3.1342;-571;7.298;-459;127;49020;1028;24487;27;1044;-7.6516;-1.148;0.4951;-3167;-7.7582;32795;7360
CME Group Inc.;Financials;30644.2164;2217.3;1988.7;14.0299;1.4911;1247;9.3155;1418.3;0;67359.4;28.7;2229.3;71.1;117.4;6.0132;1.7865;6.5941;-114.2;37.4835;46807.6;3326.8
Intercontinental Exchange;Financials;30429.307;2124;1750;17.4898;2.0549;1274;11.1332;1034;0;77987;613;7308;-660;97;9.3787;1.7423;7.9814;-277;38.1666;63112;3338
Marsh & McLennan;Financials;28925.3923;2842;2419;11.2788;4.4412;1599;2.4873;1563;0;18216;3696;4414;-1225;163;23.5719;8.8811;21.9769;-325;12.4021;11614;12893
S&P Global. Inc.;Financials;26646.1728;2074;1917;14.339;137.3514;1156;5.5177;56;0;8183;645;3611;-819;112;339.0029;15.4587;53.9848;-139;21.758;7020;5313
Synchrony Financial;Financials;25356.6446;1366.5;1118.7;7.7088;2.0118;2214;3.9509;906.4;424;3855.4;152.7;0;-527.1;0;29.7048;26.2766;33.7247;-189.3;30.2584;71386;13620
Aon plc;Financials;25257.8718;1925;1587;15.7272;4.2082;1385;3.1535;1809;0;26883;1866;5700;-1580;273;22.0313;4.8892;13.132;-200;14.6097;20824;9480
Unum Group;Financials;10996.576;3100;2039;4.1865;2.0447;1072;0.7042;1207;5506;20576;4062;7637;-1838;363;22.2684;5.1162;16.247;-777;3.9588;16323;27079
Nasdaq. Inc.;Financials;9553.6387;858;720;13.3049;1.7033;428;5.4645;594;0;11861;329;2364;-348;111;7.5075;3.5768;8.9032;-133;20.4785;6252;2090
Block H&R;Financials;7859.4934;806.79;633.192;6.2011;4.2879;374.267;1.6308;444.63;0;2847.225;795.126;1492.201;-1992.563;68.962;40.3294;10.1666;25.759;-99.923;12.3189;2824.122;3038.153
MSCI Inc;Financials;7406.003;481.697;403.898;17.0391;8.2153;223.648;7.5234;265.342;0;3146.987;180.562;1579.404;-681.831;62.387;19.1617;7.4184;16.3531;-40.652;20.8042;2245.5;1075.013
Arthur J. Gallagher & Co.;Financials;7233.8936;730.7;396.5;10.5488;1.9883;356.8;1.431;587.1;0;10910.5;3689.8;2316.7;203.3;103;10.3907;3.411;6.8961;-99;6.6167;7222.3;5392.4
Jefferies Financial Group;Financials;6301.0586;468.569;204.288;26.0296;0.6058;283.65;0.552;612.485;0;7360.022;1460.805;387.751;-109.033;15.26;4.9191;2.7791;6.9366;-67.688;1.9196;35548.661;10728.687
Cboe Global Markets;Financials;5354.6268;366.2;319.9;14.3429;20.6229;205;9.3026;206;0;384.788;61.737;0;-134.1;0;80.0844;53.3376;123.7311;-39.3;36.4964;125.143;561.7
Johnson & Johnson;Health Care;284220.447;21811;18065;12.1822;3.9947;15409;3.7745;16106;8053;133411;20743;19861;-4285;552;21.8719;11.6837;20.6955;-3463;21.9896;62261;70074
Pfizer Inc.;Health Care;199264.503;16981;11824;12.6717;3.0801;6960;4.4061;13291;7513;167381;8249;38899;-4897;1199;10.235;4.1559;9.0814;-1397;14.2474;102383;48851
Merck & Co.;Health Care;147554.9525;13303;6928;12.0748;3.3028;4442;4.0502;11255;4700;101677;16579;26412;-3701;672;9.5196;4.4455;8.9927;-1283;11.2461;56910;39498
Gilead Sciences;Health Care;145833.022;23291;22193;6.108;7.8684;18108;4.2992;19582;1955;51716;8435;22057;-9098;688;106.6431;41.9264;62.7799;-747;55.4796;32603;32639
Allergan. Plc;Health Care;123163.9194;2864.3;-3131;59.242;1.7228;3915.2;13.383;4075.1;757.5;135583.3;4202;42530.4;9188.9;1193.3;7.3795;4.1576;-3.6022;-454.9;30.8573;58994;12688.1
Bristol-Myers Squibb;Health Care;114761.4199;2449;1890;46.01;8.0444;1565;6.774;1285;1221;31748;6865;6689;0;184;10.7494;4.7788;8.8899;-820;9.4505;17324;16560
Medtronic plc;Health Care;108161.5012;8181;5361;24.619;2.032;3538;4.481;4172;3473;99644;6059;31102;-2339;1386;6.7203;3.4295;5.931;-1046;12.2707;47581;28833
AbbVie Inc.;Health Care;96842.4092;8373;7537;14.3445;24.5481;5144;5.1898;7003;1719;53050;8442;31671;-7431;719;179.9894;12.7701;26.8163;-532;22.5032;49105;22859
Celgene Corp.;Health Care;94089.9878;2657;2255;38.3096;15.8963;1602;11.0093;2499;443.4;27053.4;1600.8;14250.4;-3005;311;25.7478;7.2173;13.0832;-286;17.3077;21134.4;9256
Lilly (Eli) & Co.;Health Care;93366.5291;4117.1;2689.4;23.539;6.4076;2408.4;4.8438;1898.4;3445.8;35568.9;3203.1;7978.5;-749.5;161.2;16.0858;6.7015;11.7424;-1066.2;12.0669;20978.6;19958.7
Biogen Inc.;Health Care;68286.3667;5491.4;4891;12.497;7.2856;3547;6.2531;3276.4;893.4;19504.8;2560.7;6526.3;-5000;95.5;35.1505;20.9761;36.3257;-643;32.953;10129.9;10763.8
Abbott Laboratories;Health Care;66993.1384;4339;2867;16.1229;3.1584;4423;3.3865;1856;2599;41247;5581;9001;-1923;163;20.6987;10.7284;9.378;-1110;21.6761;19921;20405
Danaher Corp.;Health Care;63649.3023;3043;2162.2;24.9105;2.6867;3357.4;5.2615;3288.9;1573.1;48222.2;4001.3;12870.4;249;139.8;14.2567;7.8799;6.7816;-512.9;23.2608;24458.2;14433.7
Regeneron;Health Care;56493.7822;1326.825;1251.916;41.5875;15.4573;636.056;13.5234;652.847;238.578;5609.132;644.112;362.919;611.675;14.241;20.5011;13.4661;41.8284;-677.933;15.4995;1954.295;4103.728
McKesson Corp.;Health Care;45384.4179;4430;3545;12.8877;5.6723;2258;0.2145;3184;15335;56523;32533;8114;-1489;353;26.6824;4.0908;16.2745;-488;1.1829;46109;190884
Alexion Pharmaceuticals;Health Care;42980.6122;704;537;64.1571;5.2041;144;17.3213;389;290;13097;460;3571;-250;48;2.4911;1.6648;6.9851;-286;5.53;4838;2604
CIGNA Corp.;Health Care;37694.5955;4107;3522;9.492;3.1321;2094;1.0267;2423;0;57088;13422;5169;-517;252;18.3612;3.7076;21.1614;-510;5.5369;44975;37819
Anthem Inc.;Health Care;36391.5506;6182.6;5274.7;5.1373;1.5792;2560;0.4017;3573.7;0;61717.8;10888.6;15864.5;-1234;653;10.8256;4.1493;12.5918;-638.2;3.2341;38673.7;79156.5
Stryker Corp.;Health Care;34901.0348;2258;1861;15.4207;4.1007;1439;3.4773;629;1639;16223;2725;3998;-674;108;16.8245;8.5905;15.0829;-270;14.4681;7712;9946
Becton Dickinson;Health Care;32692.619;2544;1430;22.4278;4.5635;976;3.8707;1866;1719;25586;3210;11551;86;388;13.1919;3.7248;6.9615;-693;7.8186;17953;12483
Illumina Inc;Health Care;28100.7468;739.26;612.841;37.6561;15.2015;461.559;12.5567;516.749;270.777;3687.747;526.07;1090.578;-75.826;42.121;27.8774;13.136;21.74;-142.847;20.7932;1806.648;2219.762
Mylan N.V.;Health Care;26588.7608;2493;1460.9;13.128;2.723;847.6;3.4644;1645.6;1951;22267.7;1227.1;7373.9;30.2;339.4;13.0197;4.4507;10.646;-362.9;8.989;12501.9;9429.3
Humana Inc.;Health Care;26459.4524;2794;2347;7.5216;2.5575;1276;0.3873;345;0;24678;7188;4394;-349;186;12.7651;5.2941;16.3304;-523;2.3504;14332;54289
Boston Scientific;Health Care;24805.3971;486;-283;62.0646;3.9249;-239;4.0377;444;1016;18133;2179;5677;114;284;-3.7411;-1.3596;-2.4789;-247;-3.1965;11813;7477
Zoetis;Health Care;23860.349;949;750;29.0805;22.3412;339;5.7864;440;1467;7913;1313;4868;-192;124;28.4994;4.6755;13.0582;-224;7.1144;6822;4765
AmerisourceBergen Corp;Health Care;21326.1932;1917.94;1525.774;33.3995;34.5988;1427.929;0.1309;2713.881;10723.92;33637.501;24670.159;4186.703;168.903;144.349;104.0086;4.6361;24.95;-464.616;0.9724;31508.097;146849.686
Perrigo;Health Care;21184.3794;554.5;367.1;48.3284;2.0959;-4.2;5.9241;417.6;898.7;19349.6;1487.8;6032.1;-487.1;161.7;-0.0424;-0.0235;2.2438;-170.8;-0.0945;9242.8;4442.9
Zimmer Biomet Holdings;Health Care;20905.7822;1179.7;467.3;26.092;2.1143;147;5.1135;415.7;2254.1;27160.6;482;11497.4;-44.1;286.6;1.7886;0.7985;2.8153;-434.1;2.4509;17271.2;5997.8
Baxter International Inc.;Health Care;20868.7369;1208;449;16.5842;2.3591;968;2.0122;860;1604;20962;1306;6507;193;146;11.4111;4.1104;2.6906;-911;9.7111;12097;9968
Cerner;Health Care;20584.442;1233.361;781.136;16.7643;5.3184;539.362;4.6432;585.394;15.788;5561.984;457.626;605.15;-237.623;11.82;14.5061;10.6883;18.009;-362.132;12.1882;1691.6;4425.267
Edwards Lifesciences;Health Care;17036.7486;701.5;635.7;23.3912;6.8063;494.9;6.5704;447;339.9;4056.3;472;596.9;-151.6;17.2;21.0842;13.0593;21.4131;-102.7;19.846;1553.2;2493.7
DaVita Inc.;Health Care;14708.81;1774.79;1136.766;12.9646;3.0198;269.732;2.2963;849.202;185.575;18514.875;1587.978;9130.345;-495.623;408.38;5.3725;1.493;7.5296;-707.998;2.7021;12566.637;9982.245
Agilent Technologies Inc;Health Care;13888.0653;775;522;17.4749;3.3329;401;3.0191;414;541;7479;713;1655;-222;66;8.4706;4.384;8.1614;-98;9.9307;3309;4038
Henry Schein;Health Care;13118.0269;893.099;733.972;16.1241;4.5481;479.058;1.3386;515.157;1509.957;6504.74;1425.974;809.714;-282.783;26.008;16.8154;7.5779;16.1153;-71.684;4.5068;3075.732;10629.719
Laboratory Corp. of America Holding;Health Care;12500.0038;1454.6;996.8;12.4864;2.5278;437.6;2.0953;726.6;191;14104.7;1130.5;6364.2;112;274.9;11.2702;4.0885;10.5367;-255.8;5.0414;9144.7;8680.1
Hologic;Health Care;10945.6003;1014;548.6;14.8601;5.2643;330.8;4.7571;750.9;274.7;7317;443.2;3345.4;-211.5;155.3;15.6707;4.4226;8.3527;-47.3;11.6779;5174.3;2832.7
Quest Diagnostics;Health Care;10197.8977;1703;1399;8.071;2.1772;709;1.831;558;84;9962;1014;3651;-171;154;15.7151;7.1548;16.2883;-263;9.4622;5249;7493
Mettler Toledo;Health Care;9277.5245;554.046;490.008;17.6308;15.9831;352.82;4.0401;344.362;214.383;1959.335;454.895;589.626;-452.481;27.451;54.2778;17.7813;38.5357;-82.506;14.7288;1378.878;2395.447
Dentsply Sirona;Health Care;8521.1532;498.1;375.2;18.8538;3.6446;251.2;3.5131;425.4;340.4;4402.9;452.9;1153.1;-65.6;55.9;10.7827;5.5517;10.502;-72;9.3931;2063.5;2674.3
Centene Corporation;Health Care;7844.7356;816;705;8.8011;3.6369;355;0.3188;508;0;7339;3274;1221;-53;43;18.2005;5.3939;22.7934;-150;1.5598;5015;22760
ResMed;Health Care;7497.8016;515.801;428.952;14.6823;4.7236;352.409;5.0771;489.399;224.456;3256.705;288.299;1172.77;-74.364;11.206;21.4744;12.9598;18.0637;-58.534;19.1661;1561.874;1838.713
The Cooper Companies;Health Care;6434.715;428.074;236.671;18.1602;2.4123;203.523;4.8375;147.947;419.692;4459.864;184.285;1349.211;-50.004;18.103;7.7719;4.5642;5.8508;-243.023;11.3253;1785.96;1797.06
PerkinElmer;Health Care;5996.3145;363.565;250.926;18.6203;2.8413;212.425;3.2188;258.88;259.486;4166.295;316.031;1012.885;-59.099;37.997;10.2311;5.1225;7.998;-28.218;10.0923;2055.854;2104.823
United Health Group Inc.;Health Care;112123.6792;12714;11021;10.3093;3.3143;5813;0.8342;8184;0;111254;26324;31965;-798;790;17.5397;5.8825;18.3105;-1556;3.7;77529;157107
Thermo Fisher Scientific;Health Care;56612.0069;4024;2336;17.0556;2.6516;1975;4.05;2519;1991.7;40834.3;2734.8;12472;-428;415;9.4276;4.72;6.7266;-423;11.6416;19484.1;16965
Universal Health Services. Inc.;Health Care;11823.1478;1658.013;1259.395;9.3607;2.7821;680.528;1.7076;688.941;116.037;9615.444;684.894;3456.269;-201.341;113.773;17.0369;7.3215;15.0609;-379.321;7.5251;5063.774;9043.451
Waters Corporation;Health Care;10990.3126;657.438;567.451;15.6051;5.3381;469.053;5.0107;460.281;263.415;4268.677;153.469;1668.336;-269.69;36.243;23.7284;11.5199;15.9189;-100.012;22.9665;2209.826;2042.332
Varian Medical Systems;Health Care;7756.4548;464.2;395.7;15.9878;4.5317;411.5;2.827;378.2;612.6;3578.7;550.1;495.9;-334.7;7.9;24.7294;11.8656;18.1992;-91.4;16.5215;1852.4;2490.7
Teleflex Inc;Health Care;5468.565;424.284;315.891;14.5922;2.7217;244.863;3.4217;239.362;330.275;3871.774;230.519;1059.2;4.994;61.323;12.4912;6.2829;9.2911;-61.448;13.5307;1860.681;1809.69
WellCare;Health Care;3449.4583;456.8;384.2;4.4881;1.9959;118.6;0.1476;575.6;0;5193.6;1941.2;1212.1;-4.8;54.2;7.1356;2.4482;13.8994;-137;0.8538;3465.3;13890.2
General Electric;Industrials;293989.715;14195;9348;27.5741;2.9917;-6126;3.3831;12582;22515;493071;15847;197602;-1099;1706;-5.4269;-1.0672;2.7258;-7309;-5.3196;389961;115158
Boeing Company;Industrials;96872.9349;9276;7443;10.225;15.2917;5176;0.9818;6913;33399;94408;24463;9964;-6195;275;69.0133;5.5261;38.9299;-2450;5.3853;88011;96114
3M Company;Industrials;92750.999;8381;6946;12.1301;7.922;4833;3.3263;4959;3518;32718;2670;10797;-4449;149;38.9491;15.1204;32.6863;-1461;15.9642;20971;30274
Honeywell Int'l Inc.;Industrials;79820.5089;7711;6828;10.9915;4.3658;4768;2.196;4446;4420;49316;11840;12068;-1617;310;26.5331;10.0626;23.2024;-1073;12.3584;30608;38581
Lockheed Martin Corp.;Industrials;66729.2182;5738;4712;14.099;21.5464;3605;1.9728;4162;4819;49304;3594;15261;-2897;443;110.9743;8.3497;57.516;-939;8.8933;46207;40536
General Dynamics;Industrials;43423.366;4776;4295;9.2206;4.0439;3036;1.3721;2038;3366;31997;1964;3399;-2965;98;26.9065;9.0177;31.4594;-569;9.5529;21259;31781
FedEx Corporation;Industrials;41063.9138;5708;3077;9.9529;2.7389;1820;1.0764;880;496;45959;7979;13762;-2539;336;12.649;4.4127;11.7683;-4828;3.6136;32175;50365
Delta Air Lines Inc.;Industrials;39866.3484;9637;7802;4.6444;3.6743;4526;1.09;4982;697;53134;7244;8329;-2200;481;46.0357;8.4488;41.4196;-2945;11.1193;42284;40704
Caterpillar Inc.;Industrials;39568.6108;6831;3785;6.3394;2.6719;2512;0.9213;3438;9700;78342;10525;38013;-1992;507;15.9214;3.0818;6.9444;-3261;5.3434;63457;47011
Raytheon Co.;Industrials;37495.7329;3556;3067;11.3;3.7022;2110;1.7118;1953;635;29281;2556;5330;-1052;233;21.4725;7.4039;20.3288;-406;9.0476;18596;23321
Northrop Grumman Corp.;Industrials;34435.742;3543;3076;10.8983;6.2361;1990;1.6326;1691;807;24424;2847;6496;-3182;301;31.1986;7.8045;27.6159;-471;8.4587;18902;23526
Illinois Tool Works;Industrials;33688.4163;3344;2867;11.3709;6.4488;1899;2.838;2015;1086;15729;1842;7422;-1923;226;31.537;11.4418;21.4299;-284;14.1664;10501;13405
Emerson Electric Company;Industrials;31154.8459;3072;2504;7.6814;3.8553;1635;2.6548;2434;1208;21743;3770;6646;-601;215;20.8959;7.4605;17.3167;-447;11.2588;14125;14522
Southwest Airlines;Industrials;28004.2907;5131;4116;5.552;3.806;2181;1.4313;1197;311;21312;1250;3534;-1134;90;30.8639;10.63;31.7899;-2041;11.004;13954;19820
American Airlines Group;Industrials;26694.2875;7813;6204;5.1589;4.7372;7610;0.9774;98;863;48415;5102;20561;-3846;880;198.7983;16.6085;25.5888;-6151;18.5655;42780;40990
CSX Corp.;Industrials;25299.8166;4792;3584;7.1813;2.1713;1968;2.8888;808;350;34745;1493;10535;-804;544;17.2514;5.8055;11.6807;-2562;16.6624;23077;11811
Norfolk Southern Corp.;Industrials;25256.0163;3943;2884;8.6858;2.0722;1556;3.2521;523;271;34139;1417;10093;-1063;545;12.6118;4.6214;10.934;-2385;14.8035;21951;10511
Deere & Co.;Industrials;24154.7169;4842.5;3460.1;5.3993;3.582;1940;0.9248;914.2;3817;57947.6;7233.5;36849.4;-2580.1;680;24.5476;3.2527;8.1663;-2826.1;6.7215;51190;28862.8
Eaton Corporation;Industrials;24084.1114;3255;2330;9.8612;1.5859;1972;1.5291;1903;2323;30996;2124;8414;-630;237;12.7341;6.1124;9.4468;-506;9.4558;15765;20855
Roper Technologies;Industrials;19131.8172;1232.179;1027.918;17.5498;3.6105;696.067;6.0398;890.126;189.868;10168.365;446.293;3271.222;43.429;84.225;13.8461;7.4973;12.0484;-38.699;19.4302;4869.418;3582.395
Nielsen Holdings;Industrials;16965.1006;1667;1093;14.4812;3.827;570;3.8982;1075;0;15303;782;7338;-595;311;12.0139;3.722;8.4058;-134;9.2353;10676;6172
